Date,Open,High,Low,Close,Volume%,Volume,Weighted_bitcoin_price,Address,generatedCoin,Mining_Difficulty,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,9d MA,15d MA,Lable
28/09/2016,606.24,606.59,604.61,604.73,0.14,80461.40635,605.54,547163,1850,2.41E+11,3.85,494815.5844,1323.74,47.05,1.1217,8127,19750,606.31,606.72,605.13,604.73
29/09/2016,605.02,606.82,604.85,605.69,0.01,91906.53897,605.6,553367,1788,2.41E+11,3.84,435989.5833,1319.84,47.83,1.1222,8014,21230,605.53,609.80,604.79,605.69
30/09/2016,605.72,609.73,604.14,609.73,0,92408.41058,607.33,559609,1775,2.41E+11,3.84,548158.8542,1318.38,48.24,1.1235,8491,17676,606.72,611.53,604.96,609.73
1/10/2016,609.93,615.24,609.93,613.98,-0.3,92045.99278,612.27,498339,1963,2.41E+11,3.85,370477.9221,1318.38,48.24,1.1235,7590,17285,609.80,612.33,605.43,613.98
2/10/2016,613.95,614.01,609.68,610.89,0.19,64120.03986,612.13,462255,1763,2.41E+11,3.85,356787.013,1312,27.45,1.1211,7652,16869,611.53,611.07,605.76,610.89
3/10/2016,610.97,612.57,610.46,612.13,0.07,76526.58087,611.53,628813,1888,2.41E+11,3.84,314351.5625,1314.61,37.84,1.1211,8347,22770,612.33,611.61,605.91,612.13
4/10/2016,612.05,612.05,609.48,610.2,0.37,81516.35185,610.94,600999,1975,2.41E+11,3.83,291610.9661,1294.81,37.84,1.1204,9345,20191,611.07,611.91,605.97,610.2
5/10/2016,610.22,613.81,609.62,612.51,-0.17,111321.4246,611.54,585521,2088,2.41E+11,3.84,363242.1875,1267.64,44.66,1.1205,9086,19102,611.61,614.22,606.25,612.51
6/10/2016,612.47,613.82,611.47,613.02,0.12,92725.68509,612.69,621273,2013,2.41E+11,3.85,367776.6234,1260.59,49.07,1.1151,8649,19174,611.91,616.42,607.31,613.02
7/10/2016,612.61,617.91,611.82,617.12,-0.34,104204.8596,614.86,577273,1788,2.41E+11,3.85,414602.5974,1250.21,49.07,1.1201,8874,21247,614.22,617.66,608.70,617.12
8/10/2016,617.34,619.85,617.34,619.11,-0.07,68475.44509,618.41,549445,2113,2.59E+11,3.85,401093.5065,1250.21,41.71,1.1201,7025,18265,616.42,618.28,609.79,619.11
9/10/2016,619.17,619.2,616.61,616.75,0.72,63507.84069,617.93,509901,2000,2.59E+11,3.83,323516.9713,1240.25,41.71,1.1139,7078,17597,617.66,625.60,610.73,616.75
10/10/2016,616.82,621.32,616.2,618.99,0.51,109134.4492,618.33,514281,1550,2.59E+11,3.81,372910.7612,1274.66,51.35,1.1139,7981,19079,618.28,632.08,611.94,618.99
11/10/2016,619.24,642.08,618.5,641.07,-0.12,164371.172,630.22,601465,1738,2.59E+11,3.81,531595.8005,1245.25,44.66,1.1054,9581,20605,625.60,638.02,614.14,641.07
12/10/2016,640.87,641.34,635.97,636.19,-0.33,144647.1132,638.59,544859,1800,2.59E+11,3.79,832327.1768,1257.04,44.66,1.1007,10134,19254,632.08,637.79,616.14,636.19
13/10/2016,636.03,638.83,635.03,636.79,-0.06,96785.93306,636.67,547741,1600,2.59E+11,3.83,991812.0104,1259.28,50.44,1.1056,8788,17289,638.02,638.61,618.28,636.79
14/10/2016,637.01,641.28,637.01,640.38,-0.33,91004.50761,638.92,532160,1700,2.59E+11,3.9,549330.7692,1253.73,50.35,1.0972,8502,17479,637.79,640.22,620.59,640.38
15/10/2016,640.31,642.1,637.39,638.65,0.03,61030.00266,639.61,501726,1775,2.59E+11,3.89,428015.4242,1253.73,50.35,1.0972,6829,20593,638.61,639.82,622.52,638.65
16/10/2016,639.08,642.9,638.9,641.63,0.44,62903.86026,640.63,482676,1625,2.59E+11,3.89,555308.4833,1250.55,49.94,1.1,7378,18498,640.22,639.59,624.36,641.63
17/10/2016,641.82,642.33,638.66,639.19,0.13,90653.55191,640.5,550541,1563,2.59E+11,3.9,440189.7436,1253.29,49.94,1.1,9038,18689,639.82,635.89,626.25,639.19
18/10/2016,639.41,640.74,636,637.96,0.07,102652.4987,638.53,588298,1938,2.59E+11,3.96,452121.2121,1260.55,50.29,1.0981,9037,17940,639.59,633.11,627.97,637.96
19/10/2016,638.13,638.87,628.01,630.52,-0.17,109455.5689,633.88,459988,1563,2.59E+11,3.82,587382.199,1267.27,51.6,1.0974,8766,20522,635.89,631.40,629.33,630.52
20/10/2016,630.66,631.92,628.26,630.86,-0.02,90348.18058,630.42,624199,1675,2.59E+11,3.8,636197.3684,1267.67,50.43,1.0929,7861,17281,633.11,640.33,630.55,630.86
21/10/2016,630.83,634.09,630.69,632.83,0.38,88514.65726,632.11,584321,2050,2.59E+11,3.8,758415.7895,1265.51,50.85,1.0884,9966,15145,631.40,649.06,631.87,632.83
22/10/2016,633.14,658.2,632.85,657.29,-0.32,121723.1913,645.37,524550,1863,2.59E+11,3.85,1002111.688,1265.51,50.85,1.0884,6727,13770,640.33,656.04,634.55,657.29
