Date,Open,High,Low,Close,Volume,Weighted_bitcoin_price,bitcoin_sent,Address,generatedCoin,bitcoin_transactions,Mining_Difficulty,mine_a_block_min,Block_size,Weighted_litecoin_price,Volume_litecoin,Weighted_gold_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,bitcoin_sent_inNum,Lable
25/10/2017,5524.6,5754.33,5397.88,5750.8,350815.9503,5606.9,10912124800,919336,2313,317062,1.20E+12,7.79,913114,55.78,2052886.339,1278.38,52.18,1.1813,40927,72426,1946195.723,5750.8
26/10/2017,5747.95,5976.8,5721.22,5904.83,326334.0014,5837.7,10443186640,730711,2250,285767,1.45E+12,7.95,685359,56.16,1444172.08,1273.32,52.64,1.1651,39086,67679,1788921.431,5904.83
27/10/2017,5899.74,5988.39,5728.82,5780.9,292356.9095,5849.46,11137900614,673653,1300,226990,1.45E+12,13.92,964755,55.6,1419480.288,1270.61,53.9,1.1608,36708,69197,1904090.397,5780.9
28/10/2017,5787.82,5876.72,5689.19,5753.09,243031.4886,5776.7,8717599234,555051,1063,227234,1.45E+12,16.93,940830,55.19,1287610.074,1270.61,53.9,1.1608,31082,59449,1509096.757,5753.09
29/10/2017,5754.44,6255.71,5724.58,6153.85,478729.5676,5972.14,9796978996,911592,1925,335635,1.45E+12,9.29,957249,56,2470357.143,1273.39,54.15,1.1651,33836,64396,1640446.975,6153.85
30/10/2017,6114.85,6214.99,6040.85,6130.53,289316.4443,6125.3,11316060095,889430,1838,312620,1.45E+12,9.8,967438,57,2268192.982,1274.42,54.15,1.1651,42538,73018,1847429.529,6130.53
31/10/2017,6132.02,6470.43,6103.33,6468.4,367262.2988,6293.54,11795959376,829238,1725,276961,1.45E+12,10.51,974787,56.16,1769606.553,1273.38,54.38,1.1646,48178,86043,1874296.402,6468.4
1/11/2017,6440.97,6767.31,6377.88,6767.31,435664.6831,6588.37,14238593846,960573,1950,340337,1.45E+12,9.17,967296,54.46,2070492.104,1275.52,52.25,1.1619,56103,89885,2161170.949,6767.31
2/11/2017,6777.77,7367.33,6758.72,7078.5,665244.3743,6995.58,15688037966,916841,1875,352186,1.45E+12,9.5,952625,53.61,4123801.38,1277.78,52.25,1.1658,74790,92923,2242564.3,7078.5
3/11/2017,7087.53,7461.29,7002.94,7207.76,468694.9012,7189.88,21887539233,818583,1488,274116,1.45E+12,12.24,959973,55.33,2711548.888,1273.2,53.4,1.1608,64293,77953,3044214.818,7207.76
4/11/2017,7164.48,7492.86,7031.28,7379.95,341785.0852,7267.14,41869811001,800319,1625,293991,1.45E+12,11.04,956613,55.64,1503111.143,1273.2,53.4,1.1608,49914,73373,5761525.304,7379.95
5/11/2017,7404.52,7617.48,7333.19,7407.41,319919.6457,7440.65,45396536216,803250,1763,251587,1.45E+12,10.3,958976,54.97,1533600.146,1269.85,47.83,1.161,48027,67196,6101151.945,7407.41
6/11/2017,7403.22,7445.77,7007.31,7022.76,431025.3947,7219.76,20173363652,825192,1663,270896,1.45E+12,10.44,959111,55.01,2434430.104,1275.75,47.83,1.161,51778,72577,2794187.57,7022.76
7/11/2017,7023.1,7253.32,7023.1,7144.38,327147.6078,7110.98,25051292467,939818,1950,335480,1.45E+12,9.49,947532,58.77,6851625.251,1277.62,45.04,1.1587,51470,64461,3522902.957,7144.38
8/11/2017,7141.38,7776.42,7114.02,7459.69,624206.5603,7372.88,31493477327,860914,1800,301202,1.45E+12,10.04,954052,62.14,5623656.518,1280.44,48.82,1.1595,54912,81551,4271529.894,7459.69
9/11/2017,7446.83,7446.83,7101.52,7143.58,442880.8891,7284.69,16209183171,945888,1913,341128,1.45E+12,9.47,948798,63.83,4381215.604,1277,48.07,1.1642,54591,81241,2225102.67,7143.58
10/11/2017,7173.73,7312,6436.87,6618.14,756443.5289,6885.18,16211981514,795418,1500,271625,1.45E+12,11.58,957980,61.63,4731397.047,1280.56,51.3,1.1665,53492,80481,2354619.852,6618.14
