Date,Bitcoin
2018/5/16,13854
2018/5/17,14659
2018/5/18,18814
2018/5/19,14822
2018/5/20,15239
2018/5/21,20752
2018/5/22,14316
2018/5/23,15441
2018/5/24,13769
2018/5/25,12635
2018/5/26,10783
2018/5/27,22272
2018/5/28,12882
2018/5/29,13007
2018/5/30,12909
2018/5/31,18963
2018/6/1,10908
2018/6/2,9256
2018/6/3,15388
2018/6/4,18471
2018/6/5,24457
2018/6/6,35908
2018/6/7,30928
2018/6/8,25142
2018/6/9,20530
2018/6/10,22054
2018/6/11,23809
2018/6/12,19973
2018/6/13,18622
2018/6/14,15097
2018/6/15,12701
2018/6/16,11288
2018/6/17,16903
2018/6/18,17193
2018/6/19,14829
2018/6/20,24720
2018/6/21,14834
2018/6/22,12597
2018/6/23,10869
2018/6/24,17123
2018/6/25,17001
2018/6/26,17085
2018/6/27,17169
2018/6/28,18577
2018/6/29,14125
2018/6/30,14229
2018/7/1,14889
2018/7/2,15949
2018/7/3,13432
2018/7/4,13193
2018/7/5,16503
2018/7/6,12334
2018/7/7,8168
2018/7/8,9076
2018/7/9,10704
2018/7/10,16183
2018/7/11,11559
2018/7/12,11139
2018/7/13,12850
2018/7/14,12085
2018/7/15,12285
2018/7/16,12738
2018/7/17,12198
2018/7/18,12885
2018/7/19,12348
2018/7/20,12218
2018/7/21,11289
2018/7/22,10931
2018/7/23,13360
2018/7/24,12821
2018/7/25,14538
2018/7/26,12561
2018/7/27,13973
2018/7/28,12436
2018/7/29,15010
2018/7/30,12769
2018/7/31,13419
2018/8/1,12804
2018/8/2,12127
2018/8/3,14465
2018/8/4,11066
2018/8/5,11327
2018/8/6,16035
2018/8/7,16708
2018/8/8,12273
2018/8/9,10302
2018/8/10,12897
2018/8/11,9699
2018/8/12,11541
2018/8/13,13664
2018/8/14,13691
2018/8/15,14295
2018/8/16,13302
2018/8/17,12333
2018/8/18,12274
2018/8/19,12762
2018/8/20,12594
2018/8/21,13082
2018/8/22,13567
2018/8/23,13000
2018/8/24,12695
2018/8/25,12273
2018/8/26,11746
2018/8/27,14017
2018/8/28,13410
2018/8/29,13519
2018/8/30,14620
2018/8/31,12449
2018/9/1,11241
2018/9/2,13102
2018/9/3,13705
2018/9/4,13342
2018/9/5,14156
2018/9/6,14088
2018/9/7,12664
2018/9/8,11549
2018/9/9,12560
2018/9/10,14374
2018/9/11,10880
2018/9/12,10741
2018/9/13,11889
2018/9/14,11699
2018/9/15,11171
2018/9/16,12184
2018/9/17,18135
2018/9/18,15263
2018/9/19,13421
2018/9/20,12915
2018/9/21,12747
2018/9/22,11768
2018/9/23,13893
2018/9/24,16198
2018/9/25,13497
2018/9/26,11888
2018/9/27,11109
2018/9/28,10102
2018/9/29,9828
2018/9/30,9861
2018/10/1,9908
2018/10/2,10702
2018/10/3,9672
2018/10/4,9361
2018/10/5,8776
2018/10/6,7699
2018/10/7,7645
2018/10/8,10673
2018/10/9,12687
2018/10/10,9488
2018/10/11,9063
2018/10/12,8846
2018/10/13,7582
2018/10/14,7860
2018/10/15,10030
2018/10/16,9497
2018/10/17,8716
2018/10/18,8855
2018/10/19,9439
2018/10/20,8003
2018/10/21,8058
2018/10/22,11136
2018/10/23,9588
2018/10/24,10140
2018/10/25,9440
2018/10/26,8798
2018/10/27,7501
2018/10/28,7981
2018/10/29,9804
2018/10/30,11438
2018/10/31,12280
2018/11/1,12175
2018/11/2,11582
2018/11/3,9899
2018/11/4,9425
2018/11/5,10250
2018/11/6,10350
2018/11/7,9657
2018/11/8,12575
2018/11/9,12319
2018/11/10,9244
2018/11/11,12704
2018/11/12,11375
2018/11/13,10957
2018/11/14,10530
2018/11/15,11302
2018/11/16,9741
2018/11/17,9209
2018/11/18,9096
2018/11/19,12711
2018/11/20,13398
2018/11/21,12924
2018/11/22,11126
2018/11/23,10881
2018/11/24,9525
2018/11/25,10776
2018/11/26,13317
2018/11/27,13557
2018/11/28,12004
2018/11/29,12139
2018/11/30,13904
2018/12/1,9536
2018/12/2,9852
2018/12/3,11454
2018/12/4,12522
2018/12/5,11530
2018/12/6,11346
2018/12/7,11338
2018/12/8,9620
2018/12/9,9739
2018/12/10,10642
2018/12/11,10253
2018/12/12,10443
2018/12/13,12133
2018/12/14,12899
2018/12/15,8117
2018/12/16,8681
2018/12/17,11485
2018/12/18,9942
2018/12/19,9503
2018/12/20,8891
2018/12/21,8657
2018/12/22,8439
2018/12/23,8644
2018/12/24,8932
2018/12/25,8628
2018/12/26,10158
2018/12/27,11005
2018/12/28,10357
2018/12/29,11028
2018/12/30,8590
2018/12/31,9274
2019/1/1,9185
2019/1/2,10582
2019/1/3,19383
2019/1/4,11683
2019/1/5,9746
2019/1/6,10195
2019/1/7,11036
2019/1/8,10505
2019/1/9,10967
2019/1/10,10846
2019/1/11,10687
2019/1/12,9350
2019/1/13,9853
2019/1/14,9565
2019/1/15,8308
2019/1/16,8099
2019/1/17,7906
2019/1/18,8506
2019/1/19,6539
2019/1/20,6521
2019/1/21,7453
2019/1/22,7464
2019/1/23,7664
2019/1/24,8975
2019/1/25,7981
2019/1/26,7659
2019/1/27,7671
2019/1/28,8200
2019/1/29,8277
2019/1/30,8699
2019/1/31,8288
2019/2/1,8423
2019/2/2,7523
2019/2/3,7115
2019/2/4,8795
2019/2/5,13112
2019/2/6,11068
2019/2/7,10044
2019/2/8,8619
2019/2/9,7622
2019/2/10,7550
2019/2/11,8698
2019/2/12,8768
2019/2/13,8609
2019/2/14,7843
2019/2/15,7745
2019/2/16,7736
2019/2/17,9614
2019/2/18,8708
2019/2/19,9364
2019/2/20,9447
2019/2/21,9252
2019/2/22,9179
2019/2/23,8345
2019/2/24,9156
2019/2/25,9391
2019/2/26,9378
2019/2/27,9019
2019/2/28,10235
2019/3/1,8776
2019/3/2,8412
2019/3/3,8300
2019/3/4,9423
2019/3/5,9665
2019/3/6,9860
2019/3/7,9305
2019/3/8,7887
2019/3/9,6979
2019/3/10,7442
2019/3/11,8181
2019/3/12,8042
2019/3/13,7677
2019/3/14,7760
2019/3/15,7172
2019/3/16,6406
2019/3/17,6720
