DATE,CLOSING,OPEN,HIGH,LOW
12/24/2015,1076.05,1070.70,1076.93,1070.43
12/23/2015,1067.80,1073.08,1075.53,1067.80
12/22/2015,1072.40,1078.40,1080.58,1071.95
12/21/2015,1079.80,1066.35,1081.20,1064.05
12/20/2015,1070.30,1070.30,1070.30,1070.30
12/18/2015,1066.00,1051.40,1070.50,1051.20
12/17/2015,1048.30,1072.05,1072.93,1047.45
12/16/2015,1069.00,1061.40,1078.28,1061.33
12/15/2015,1058.10,1061.45,1068.53,1057.25
12/14/2015,1060.50,1073.85,1077.28,1060.43
12/11/2015,1074.10,1071.95,1079.58,1062.73
12/10/2015,1071.68,1072.43,1076.38,1070.08
12/09/2015,1073.50,1074.85,1085.38,1069.83
12/08/2015,1074.88,1071.25,1078.48,1068.08
12/07/2015,1071.30,1084.85,1086.58,1067.93
12/04/2015,1086.98,1063.70,1088.68,1058.63
12/03/2015,1054.00,1054.05,1065.43,1046.43
12/02/2015,1063.95,1069.08,1071.48,1051.03
12/01/2015,1068.80,1064.98,1074.73,1063.38
11/30/2015,1064.75,1058.50,1069.48,1053.48
11/27/2015,1058.20,1072.00,1073.48,1053.23
11/26/2015,1073.10,1071.35,1074.83,1070.30
11/25/2015,1080.00,1075.83,1080.63,1068.13
11/24/2015,1075.78,1069.30,1081.10,1069.15
11/23/2015,1065.00,1074.65,1076.73,1065.00
11/20/2015,1078.80,1082.25,1087.28,1076.05
11/19/2015,1082.20,1071.80,1086.28,1070.03
11/18/2015,1070.80,1071.85,1074.80,1065.88
11/17/2015,1070.25,1083.88,1084.63,1066.03
11/16/2015,1083.03,1088.15,1098.08,1081.63
11/13/2015,1083.70,1083.40,1088.13,1080.73
11/12/2015,1086.60,1087.75,1089.40,1075.35
11/11/2015,1086.23,1090.00,1093.60,1084.23
11/10/2015,1089.90,1092.35,1094.43,1085.68
11/09/2015,1092.13,1090.70,1095.33,1088.73
11/06/2015,1089.85,1104.85,1112.55,1085.70
11/05/2015,1103.95,1108.10,1111.55,1103.10
11/04/2015,1102.00,1118.30,1122.80,1102.00
11/03/2015,1114.20,1134.05,1138.28,1114.20
11/02/2015,1133.55,1141.50,1142.90,1133.18
11/01/2015,1142.05,1142.05,1142.05,1142.05
10/30/2015,1142.05,1145.88,1150.05,1139.58
10/29/2015,1146.78,1157.55,1162.75,1144.78
10/28/2015,1157.50,1167.45,1182.80,1153.05
10/27/2015,1167.25,1164.10,1168.40,1161.28
10/26/2015,1163.50,1163.15,1169.03,1162.55
10/25/2015,1163.05,1163.95,1163.95,1162.50
10/23/2015,1164.45,1166.40,1179.38,1159.63
10/22/2015,1168.50,1167.70,1171.78,1163.23
10/21/2015,1167.10,1176.55,1179.28,1164.23
10/20/2015,1173.50,1170.15,1180.33,1167.50
10/19/2015,1170.75,1176.65,1178.15,1168.75
10/16/2015,1177.55,1182.30,1184.48,1175.08
10/15/2015,1181.30,1184.75,1191.03,1176.63
10/14/2015,1185.73,1168.20,1189.78,1164.58
10/13/2015,1168.90,1168.90,1168.90,1168.90
10/12/2015,1169.90,1155.70,1169.90,1154.95
10/09/2015,1157.53,1139.25,1159.78,1139.25
10/08/2015,1154.00,1143.95,1154.00,1136.73
10/07/2015,1155.00,1147.05,1155.00,1142.63
10/06/2015,1153.90,1135.95,1153.90,1135.25
10/05/2015,1135.75,1137.20,1141.58,1130.38
10/04/2015,1138.13,1138.13,1138.13,1138.13
10/02/2015,1138.13,1113.95,1141.50,1105.30
10/01/2015,1114.08,1115.70,1118.78,1111.58
9/30/2015,1115.00,1127.45,1128.10,1112.23
9/29/2015,1127.25,1132.25,1134.33,1124.63
9/28/2015,1132.05,1145.50,1148.15,1128.33
9/25/2015,1145.80,1150.15,1151.15,1141.28
9/24/2015,1153.05,1132.10,1156.48,1131.95
9/23/2015,1130.40,1124.75,1133.98,1123.55
9/22/2015,1124.65,1132.55,1136.25,1121.73
9/21/2015,1133.40,1139.45,1140.05,1130.68
9/18/2015,1139.40,1131.15,1141.53,1127.65
9/17/2015,1130.85,1119.50,1133.85,1115.88
9/16/2015,1119.55,1105.50,1124.23,1104.15
9/15/2015,1105.40,1109.30,1109.30,1103.48
