Date,Block_size
2015-07-11 00:00:00 UTC,746483
2015-07-12 00:00:00 UTC,776860
2015-07-13 00:00:00 UTC,717928
2015-07-14 00:00:00 UTC,716007
2015-07-15 00:00:00 UTC,662800
2015-07-16 00:00:00 UTC,699366
2015-07-17 00:00:00 UTC,676602
2015-07-18 00:00:00 UTC,654658
2015-07-19 00:00:00 UTC,639914
2015-07-20 00:00:00 UTC,439029
2015-07-21 00:00:00 UTC,535470
2015-07-22 00:00:00 UTC,463089
2015-07-23 00:00:00 UTC,401368
2015-07-24 00:00:00 UTC,376293
2015-07-25 00:00:00 UTC,354706
2015-07-26 00:00:00 UTC,433771
2015-07-27 00:00:00 UTC,532105
2015-07-28 00:00:00 UTC,574468
2015-07-29 00:00:00 UTC,840224
2015-07-30 00:00:00 UTC,777653
2015-07-31 00:00:00 UTC,756097
2015-08-01 00:00:00 UTC,729844
2015-08-02 00:00:00 UTC,428182
2015-08-03 00:00:00 UTC,454973
2015-08-04 00:00:00 UTC,797580
2015-08-05 00:00:00 UTC,800967
2015-08-06 00:00:00 UTC,785167
2015-08-07 00:00:00 UTC,498201
2015-08-08 00:00:00 UTC,350409
2015-08-09 00:00:00 UTC,368554
2015-08-10 00:00:00 UTC,450406
2015-08-11 00:00:00 UTC,410415
2015-08-12 00:00:00 UTC,503204
2015-08-13 00:00:00 UTC,444049
2015-08-14 00:00:00 UTC,433369
2015-08-15 00:00:00 UTC,391478
2015-08-16 00:00:00 UTC,378583
2015-08-17 00:00:00 UTC,425368
2015-08-18 00:00:00 UTC,479367
2015-08-19 00:00:00 UTC,414436
2015-08-20 00:00:00 UTC,407439
2015-08-21 00:00:00 UTC,366045
2015-08-22 00:00:00 UTC,378242
2015-08-23 00:00:00 UTC,408777
2015-08-24 00:00:00 UTC,464596
2015-08-25 00:00:00 UTC,486048
2015-08-26 00:00:00 UTC,384750
2015-08-27 00:00:00 UTC,438590
2015-08-28 00:00:00 UTC,413005
2015-08-29 00:00:00 UTC,351047
2015-08-30 00:00:00 UTC,372107
2015-08-31 00:00:00 UTC,454286
2015-09-01 00:00:00 UTC,451844
2015-09-02 00:00:00 UTC,755694
2015-09-03 00:00:00 UTC,494698
2015-09-04 00:00:00 UTC,355467
2015-09-05 00:00:00 UTC,448417
2015-09-06 00:00:00 UTC,411318
2015-09-07 00:00:00 UTC,477578
2015-09-08 00:00:00 UTC,692283
2015-09-09 00:00:00 UTC,728355
