Date,Open,High,Low,Close,Weighted_bitcoin_price,Volume,Address,Mining_Difficulty,Weighted_litecoin_price,Oil_price,usd/euro,Num_Wiki_view,Num_tweets,3d MA,Lable
22/07/2016,664.92,666.58,646.72,650.62,657.21,204149.3587,467862,2.13E+11,4.08,44.19,1.0977,9800,20712,660.44,655.56
23/07/2016,650.73,656.37,648.52,655.56,652.79,106515.4184,447396,2.13E+11,4.05,44.19,1.0977,6549,18351,657.06,661.28
24/07/2016,655.41,663.11,652.79,661.28,658.15,179570.0068,433804,2.13E+11,4.06,43.13,1.0995,7274,18766,655.82,654.1
25/07/2016,661.26,661.83,653.4,654.1,657.65,118872.4945,498664,2.13E+11,4.05,43.13,1.0995,9280,22664,656.98,651.78
26/07/2016,654.23,656.22,645.88,651.78,652.03,345283.2048,507457,2.13E+11,4,42.92,1.0986,10095,23499,655.72,654.35
27/07/2016,651.63,657.46,648.45,654.35,652.97,225831.1898,477076,2.13E+11,3.96,41.92,1.1058,10107,21902,653.41,655.03
28/07/2016,654.49,657.59,654.49,655.03,655.4,131871.2237,494972,2.13E+11,3.97,41.14,1.1077,9118,23727,653.72,656.99
29/07/2016,655.11,657.8,654.79,656.99,656.17,92511.84906,465294,2.13E+11,4.03,41.6,1.1174,8102,20354,655.46,655.05
30/07/2016,657.01,658.22,654.21,655.05,656.12,58611.38206,450533,2.13E+11,4.07,41.6,1.1174,7619,17310,655.69,624.68
31/07/2016,655.1,655.28,624.36,624.68,639.86,173191.0105,492077,2.13E+11,4.04,33.16,1.1163,68433,17590,645.57,606.27
1/08/2016,624.6,626.12,605.88,606.27,615.72,197958.4876,515927,2.13E+11,3.96,33.16,1.1163,7849,22021,628.67,547.47
2/08/2016,606.4,612.85,531.33,547.47,574.51,576026.513,538166,2.13E+11,3.73,29.69,1.1224,8291,27947,592.81,566.35
3/08/2016,548.66,573.36,541.55,566.35,557.48,373075.2673,517165,2.02E+11,3.67,36.5,1.1149,18927,33437,573.36,578.29
4/08/2016,566.33,579.5,565.78,578.29,572.47,218862.1238,488412,2.02E+11,3.73,39.72,1.113,12782,25150,564.04,575.04
