Date,Open,High,Low,Close,Volume,Market Cap, 3d MA,9d MA,15d MA
2016/9/27,608.02,608.25,604.11,606.17,49422400,9633311305,605.0133333,605.53,605.4266667
2016/9/28,606.24,606.59,604.61,604.73,48722600,9611532319,606.3133333,606.7166667,605.126
2016/9/29,605.02,606.82,604.85,605.69,55658600,9627902106,605.53,609.8,604.7933333
2016/9/30,605.72,609.73,604.14,609.73,56122400,9693198750,606.7166667,611.5333333,604.9646667
2016/10/1,609.93,615.24,609.93,613.98,56357000,9761887632,609.8,612.3333333,605.432
2016/10/2,613.95,614.01,609.68,610.89,39249800,9713776587,611.5333333,611.0733333,605.7593333
2016/10/3,610.97,612.57,610.46,612.13,46798300,9734618878,612.3333333,611.6133333,605.91
2016/10/4,612.05,612.05,609.48,610.2,49801600,9705099355,611.0733333,611.91,605.9746667
2016/10/5,610.22,613.81,609.62,612.51,68077504,9743018924,611.6133333,614.2166667,606.2546667
2016/10/6,612.47,613.82,611.47,613.02,56812100,9752315689,611.91,616.4166667,607.3126667
2016/10/7,612.61,617.91,611.82,617.12,64071400,9818599994,614.2166667,617.66,608.7006667
2016/10/8,617.34,619.85,617.34,619.11,42345900,9851461946,616.4166667,618.2833333,609.7853333
2016/10/9,619.17,619.2,616.61,616.75,39243400,9815156618,617.66,625.6033333,610.7266667
2016/10/10,616.82,621.32,616.2,618.99,67481104,9851764897,618.2833333,632.0833333,611.9373333
2016/10/11,619.24,642.08,618.5,641.07,103590000,10204214839,625.6033333,638.0166667,614.1393333
2016/10/12,640.87,641.34,635.97,636.19,92370200,10127644784,632.0833333,637.7866667,616.1406667
2016/10/13,636.03,638.83,635.03,636.79,61620700,10138078870,638.0166667,638.6066667,618.278
2016/10/14,637.01,641.28,637.01,640.38,58144600,10196303437,637.7866667,640.22,620.5906667
2016/10/15,640.31,642.1,637.39,638.65,39035400,10169814232,638.6066667,639.8233333,622.5186667
2016/10/16,639.08,642.9,638.9,641.63,40298100,10218348388,640.22,639.5933333,624.362
2016/10/17,641.82,642.33,638.66,639.19,58063600,10180488274,639.8233333,635.89,626.2486667
2016/10/18,639.41,640.74,636,637.96,65546700,10162029114,639.5933333,633.1133333,627.9706667
2016/10/19,638.13,638.87,628.01,630.52,69381696,10044471117,635.89,631.4033333,629.3253333
2016/10/20,630.66,631.92,628.26,630.86,56957300,10050854099,633.1133333,640.3266667,630.5486667
2016/10/21,630.83,634.09,630.69,632.83,55951000,10083501603,631.4033333,649.0633333,631.8693333
2016/10/22,633.14,658.2,632.85,657.29,78556496,10474463658,640.3266667,656.04,634.5473333
2016/10/23,657.62,661.13,653.89,657.07,54474600,10472100602,649.0633333,656.14,637.078
2016/10/24,657.16,657.25,652.59,653.76,62218200,10420469172,656.04,663.2166667,639.5453333
2016/10/25,654,664.42,653.7,657.59,90378800,10482565592,656.14,674.7333333,642.1186667
2016/10/26,657.68,679.73,657.68,678.3,88877104,10813913071,663.2166667,685.42,644.6006667
2016/10/27,678.21,688.59,678.04,688.31,96105296,10974828655,674.7333333,697.48,648.0753333
2016/10/28,688,690.44,684.16,689.65,81145504,10997420362,685.42,701.9966667,651.5993333
2016/10/29,690.29,720.4,690.05,714.48,134760992,11394596830,697.48,705.77,656.5393333
2016/10/30,714.12,714.12,696.47,701.86,100665000,11194834676,701.9966667,710.8733333,660.7533333
2016/10/31,702.64,709.29,691.68,700.97,97064400,11181852070,705.77,723.8633333,664.7093333
2016/11/1,701.34,736.45,701.34,729.79,130527000,11642863554,710.8733333,719.7733333,670.7493333
2016/11/2,730.07,740.83,722.35,740.83,84865200,11820110421,723.8633333,710.92,677.6073333
2016/11/3,742.35,745.77,678.16,688.7,172808000,10989660280,719.7733333,698.45,681.486
2016/11/4,689.12,706.93,685.56,703.23,99907696,11222575748,710.92,706.0566667,686.3106667
2016/11/5,703.53,707.51,697.74,703.42,53752300,11226736982,698.45,706.0233333,691.0166667
2016/11/6,703.81,714.26,699.56,711.52,59902200,11357385316,706.0566667,708.1666667,694.632
2016/11/7,710.74,710.74,699.9,703.13,65047100,11224670783,706.0233333,712.0833333,697.7026667
2016/11/8,703.09,712.99,702.39,709.85,79660800,11333339468,708.1666667,716.2166667,701.442
2016/11/9,709.83,740.05,708.61,723.27,132429000,11548965779,712.0833333,718.4033333,705.8206667
