Date,generatedCoin
29-Nov-18,1313
30-Nov-18,1263
01-Dec-18,1550
02-Dec-18,1425
03-Dec-18,1425
04-Dec-18,1725
05-Dec-18,1625
06-Dec-18,1688
07-Dec-18,1425
08-Dec-18,1588
09-Dec-18,1600
10-Dec-18,1550
11-Dec-18,1562
12-Dec-18,1500
13-Dec-18,1638
14-Dec-18,1825
15-Dec-18,1863
16-Dec-18,1438
17-Dec-18,2000
18-Dec-18,1600
19-Dec-18,1863
20-Dec-18,1688
21-Dec-18,1750
22-Dec-18,2188
23-Dec-18,2200
24-Dec-18,1900
25-Dec-18,1988
26-Dec-18,1963
27-Dec-18,2175
28-Dec-18,2088
29-Dec-18,1725
30-Dec-18,2200
31-Dec-18,1938
01-Jan-19,1863
02-Jan-19,1888
03-Jan-19,1938
04-Jan-19,1863
05-Jan-19,2038
