Date,Address
11-Nov-18,590387
12-Nov-18,683388
13-Nov-18,650640
14-Nov-18,727949
15-Nov-18,720036
16-Nov-18,713931
17-Nov-18,594727
18-Nov-18,549212
19-Nov-18,674503
20-Nov-18,768696
21-Nov-18,628177
22-Nov-18,656428
23-Nov-18,639963
24-Nov-18,579240
25-Nov-18,569057
26-Nov-18,633479
27-Nov-18,643313
28-Nov-18,617804
29-Nov-18,614248
30-Nov-18,596009
01-Dec-18,591455
02-Dec-18,507845
03-Dec-18,576356
04-Dec-18,679714
05-Dec-18,602413
06-Dec-18,655308
07-Dec-18,663554
08-Dec-18,533720
09-Dec-18,516282
10-Dec-18,620290
11-Dec-18,622451
12-Dec-18,626588
13-Dec-18,642768
14-Dec-18,696397
15-Dec-18,598790
16-Dec-18,536378
17-Dec-18,696316
18-Dec-18,649674
19-Dec-18,708715
20-Dec-18,649999
21-Dec-18,660851
22-Dec-18,552671
23-Dec-18,522611
24-Dec-18,582356
25-Dec-18,489964
26-Dec-18,544465
27-Dec-18,617822
28-Dec-18,639459
29-Dec-18,569958
30-Dec-18,535621
31-Dec-18,554009
01-Jan-19,430431
02-Jan-19,585895
